date,NDVILandsat5_8
2004-01,0.111
2004-02,
2004-03,
2004-04,
2004-05,
2004-06,0.128
2004-07,
2004-08,0.103
2004-09,0.093
2004-10,
2004-11,0.101
2004-12,0.089
2005-01,0.09
2005-02,0.081
2005-03,0.094
2005-04,0.098
2005-05,0.103
2005-06,0.113
2005-07,0.138
2005-08,0.163
2005-09,0.159
2005-10,0.122
2005-11,0.109
2005-12,
2006-01,0.095
2006-02,0.093
2006-03,0.094
2006-04,0.096
2006-05,0.099
2006-06,0.105
2006-07,0.132
2006-08,
2006-09,0.129
2006-10,0.104
2006-11,0.09
2006-12,0.08
2007-01,0.095
2007-02,0.087
2007-03,0.078
2007-04,0.098
2007-05,
2007-06,0.166
2007-07,0.184
2007-08,0.154
2007-09,0.124
2007-10,0.109
2007-11,
2007-12,
2008-01,
2008-02,0.097
2008-03,0.095
2008-04,
2008-05,
2008-06,
2008-07,
2008-08,
2008-09,
2008-10,0.096
2008-11,0.09
2008-12,0.064
2009-01,0.092
2009-02,0.038
2009-03,0.095
2009-04,0.093
2009-05,0.092
2009-06,0.109
2009-07,
2009-08,
2009-09,0.076
2009-10,0.086
2009-11,0.084
2009-12,0.085
2010-01,0.102
2010-02,0.108
2010-03,0.173
2010-04,0.155
2010-05,
2010-06,
2010-07,
2010-08,0.167
2010-09,0.15
2010-10,
2010-11,0.145
2010-12,0.134
2011-01,0.161
2011-02,
2011-03,0.216
2011-04,0.226
2011-05,0.219
2011-06,
2011-07,
2011-08,0.157
2011-09,0.138
2011-10,0.126
2011-11,
2011-12,
2012-01,
2012-02,
2012-03,
2012-04,
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,
2012-10,
2012-11,
2012-12,
2013-01,
2013-02,
2013-03,0.152
2013-04,
2013-05,0.136
2013-06,
2013-07,0.197
2013-08,0.187
2013-09,0.158
2013-10,0.137
2013-11,0.134
2013-12,0.123
2014-01,0.137
2014-02,0.137
2014-03,0.137
2014-04,0.153
2014-05,0.179
2014-06,0.244
2014-07,0.215
2014-08,0.188
2014-09,0.195
2014-10,0.17
2014-11,0.145
2014-12,0.145
2015-01,0.183
2015-02,0.195
2015-03,0.172
2015-04,0.179
2015-05,0.169
2015-06,0.219
2015-07,0.216
2015-08,0.214
2015-09,0.187
2015-10,0.155
2015-11,0.144
2015-12,
2016-01,0.157
2016-02,0.152
2016-03,0.157
2016-04,0.151
2016-05,0.196
2016-06,0.315
2016-07,0.281
2016-08,0.261
2016-09,0.25
2016-10,0.227
2016-11,0.179
2016-12,0.177
2017-01,0.204
2017-02,0.168
2017-03,0.173
2017-04,0.176
2017-05,0.21
2017-06,0.199
2017-07,0.174
2017-08,0.166
2017-09,0.156
2017-10,0.149
2017-11,0.141
2017-12,0.132
2018-01,0.141
2018-02,0.135
2018-03,0.136
2018-04,0.136
2018-05,0.14
2018-06,0.14
2018-07,0.136
2018-08,0.133
2018-09,0.127
2018-10,0.074
2018-11,0.123
2018-12,0.107
2019-01,0.124
2019-02,0.123
2019-03,0.122
2019-04,0.115
2019-05,0.123
2019-06,0.126
2019-07,0.122
2019-08,0.12
2019-09,0.117
2019-10,0.116
2019-11,0.112
2019-12,0.116
2020-01,0.115
2020-02,0.117
2020-03,0.145
2020-04,0.189
2020-05,0.208
2020-06,0.203
2020-07,
2020-08,0.214
2020-09,0.197
2020-10,0.221
2020-11,0.169
2020-12,0.148
2021-01,0.155
2021-02,0.153
2021-03,0.154
2021-04,0.174
2021-05,0.155
2021-06,0.151
2021-07,0.158
2021-08,0.142
2021-09,0.133
2021-10,0.126
2021-11,0.132
2021-12,0.132
2022-01,0.134
2022-02,0.154
2022-03,0.145
2022-04,0.137
2022-05,0.198
2022-06,0.335
2022-07,0.304
2022-08,0.258
2022-09,0.221
2022-10,0.207
2022-11,0.218
2022-12,0.2
2023-01,0.194
2023-02,0.163
2023-03,0.159
2023-04,0.169
2023-05,0.163
2023-06,0.182
2023-07,0.232
2023-08,0.203
2023-09,0.167
2023-10,0.145
2023-11,0.141
2023-12,0.136
2024-01,0.146
2024-02,0.153
2024-03,0.144
2024-04,0.157
2024-05,0.174
2024-06,0.173
2024-07,0.228
2024-08,0.229
2024-09,0.188
2024-10,0.152
2024-11,0.15
2024-12,0.146
