date,SMAP_sm_surface
2015-04,0.062
2015-05,0.079
2015-06,0.128
2015-07,0.096
2015-08,0.089
2015-09,0.072
2015-10,0.057
2015-11,0.064
2015-12,0.064
2016-01,0.06
2016-02,0.047
2016-03,0.067
2016-04,0.054
2016-05,0.114
2016-06,0.147
2016-07,0.128
2016-08,0.129
2016-09,0.188
2016-10,0.113
2016-11,0.075
2016-12,0.105
2017-01,0.077
2017-02,0.049
2017-03,0.046
2017-04,0.077
2017-05,0.066
2017-06,0.061
2017-07,0.071
2017-08,0.085
2017-09,0.056
2017-10,0.057
2017-11,0.061
2017-12,0.053
2018-01,0.048
2018-02,0.045
2018-03,0.046
2018-04,0.043
2018-05,0.048
2018-06,0.056
2018-07,0.052
2018-08,0.058
2018-09,0.053
2018-10,0.056
2018-11,0.072
2018-12,0.049
2019-01,0.052
2019-02,0.048
2019-03,0.051
2019-04,0.055
2019-05,0.068
2019-06,0.066
2019-07,0.065
2019-08,0.056
2019-09,0.054
2019-10,0.049
2019-11,0.051
2019-12,0.042
2020-01,0.047
2020-02,0.054
2020-03,0.083
2020-04,0.088
2020-05,0.077
2020-06,0.061
2020-07,0.079
2020-08,0.095
2020-09,0.085
2020-10,0.104
2020-11,0.066
2020-12,0.058
2021-01,0.06
2021-02,0.052
2021-03,0.08
2021-04,0.063
2021-05,0.066
2021-06,0.092
2021-07,0.082
2021-08,0.076
2021-09,0.068
2021-10,0.066
2021-11,0.093
2021-12,0.061
2022-01,0.082
2022-02,0.08
2022-03,0.07
2022-04,0.093
2022-05,0.155
2022-06,0.114
2022-07,0.085
2022-08,0.098
2022-09,0.102
2022-10,0.144
2022-11,0.131
2022-12,0.095
2023-01,0.068
2023-02,0.046
2023-03,0.044
2023-04,0.059
2023-05,0.05
2023-06,0.119
2023-07,0.121
2023-08,0.078
2023-09,0.058
2023-10,0.063
2023-11,0.061
2023-12,0.046
2024-01,0.093
2024-02,0.068
2024-03,0.071
2024-04,0.064
2024-05,0.089
2024-06,0.098
2024-07,0.141
2024-08,0.096
2024-09,0.081
2024-10,0.072
2024-11,0.075
2024-12,0.068
