date,NDVIS2
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,
2015-08,
2015-09,
2015-10,
2015-11,0.129
2015-12,
2016-01,
2016-02,
2016-03,
2016-04,0.121
2016-05,0.135
2016-06,
2016-07,0.297
2016-08,
2016-09,
2016-10,0.209
2016-11,
2016-12,
2017-01,0.163
2017-02,
2017-03,0.143
2017-04,0.141
2017-05,0.19
2017-06,
2017-07,0.171
2017-08,0.153
2017-09,0.131
2017-10,0.125
2017-11,0.117
2017-12,0.124
2018-01,0.116
2018-02,0.108
2018-03,0.11
2018-04,0.117
2018-05,0.121
2018-06,0.123
2018-07,
2018-08,
2018-09,0.119
2018-10,
2018-11,
2018-12,0.098
2019-01,0.09
2019-02,0.084
2019-03,0.094
2019-04,0.107
2019-05,0.089
2019-06,0.112
2019-07,0.099
2019-08,0.115
2019-09,0.107
2019-10,0.103
2019-11,0.102
2019-12,0.092
2020-01,0.09
2020-02,0.085
2020-03,0.115
2020-04,0.151
2020-05,0.204
2020-06,0.199
2020-07,0.194
2020-08,0.205
2020-09,0.183
2020-10,0.193
2020-11,0.153
2020-12,0.094
2021-01,0.129
2021-02,0.124
2021-03,0.112
2021-04,0.158
2021-05,0.144
2021-06,0.128
2021-07,0.151
2021-08,0.14
2021-09,0.125
2021-10,0.113
2021-11,0.091
2021-12,0.12
2022-01,0.095
2022-02,0.121
2022-03,0.112
2022-04,0.107
2022-05,0.194
2022-06,0.301
2022-07,0.296
2022-08,0.244
2022-09,0.197
2022-10,0.187
2022-11,0.194
2022-12,0.169
2023-01,0.15
2023-02,0.137
2023-03,0.135
2023-04,0.121
2023-05,0.123
2023-06,0.176
2023-07,0.208
2023-08,0.183
2023-09,0.152
2023-10,0.131
2023-11,0.113
2023-12,0.103
2024-01,0.122
2024-02,0.132
2024-03,0.133
2024-04,0.131
2024-05,0.114
2024-06,0.164
2024-07,0.206
2024-08,0.189
2024-09,0.169
2024-10,0.139
2024-11,0.099
2024-12,0.12
