date,MNDWILandsat
2004-01,-0.425
2004-02,
2004-03,
2004-04,
2004-05,
2004-06,-0.416
2004-07,
2004-08,-0.294
2004-09,-0.305
2004-10,
2004-11,-0.399
2004-12,-0.408
2005-01,-0.416
2005-02,-0.36
2005-03,-0.422
2005-04,-0.409
2005-05,-0.41
2005-06,-0.392
2005-07,-0.36
2005-08,-0.405
2005-09,-0.411
2005-10,-0.414
2005-11,-0.414
2005-12,
2006-01,-0.429
2006-02,-0.396
2006-03,-0.423
2006-04,-0.422
2006-05,-0.409
2006-06,-0.419
2006-07,-0.414
2006-08,
2006-09,-0.414
2006-10,-0.411
2006-11,-0.402
2006-12,-0.336
2007-01,-0.428
2007-02,-0.392
2007-03,-0.33
2007-04,-0.416
2007-05,
2007-06,-0.411
2007-07,-0.412
2007-08,-0.406
2007-09,-0.417
2007-10,-0.412
2007-11,
2007-12,
2008-01,
2008-02,-0.43
2008-03,-0.428
2008-04,
2008-05,
2008-06,
2008-07,
2008-08,
2008-09,
2008-10,-0.401
2008-11,-0.391
2008-12,-0.184
2009-01,-0.408
2009-02,-0.192
2009-03,-0.414
2009-04,-0.413
2009-05,-0.393
2009-06,-0.416
2009-07,
2009-08,
2009-09,-0.36
2009-10,-0.413
2009-11,-0.421
2009-12,-0.419
2010-01,-0.433
2010-02,-0.4
2010-03,-0.391
2010-04,-0.39
2010-05,
2010-06,
2010-07,
2010-08,-0.364
2010-09,-0.239
2010-10,
2010-11,-0.401
2010-12,-0.32
2011-01,-0.396
2011-02,
2011-03,-0.377
2011-04,-0.388
2011-05,-0.403
2011-06,
2011-07,
2011-08,-0.415
2011-09,-0.413
2011-10,-0.413
2011-11,
2011-12,
2012-01,
2012-02,
2012-03,
2012-04,
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,
2012-10,
2012-11,
2012-12,
2013-01,
2013-02,
2013-03,-0.477
2013-04,
2013-05,-0.299
2013-06,
2013-07,-0.47
2013-08,-0.469
2013-09,-0.476
2013-10,-0.451
2013-11,-0.473
2013-12,-0.376
2014-01,-0.48
2014-02,-0.477
2014-03,-0.475
2014-04,-0.467
2014-05,-0.423
2014-06,-0.449
2014-07,-0.461
2014-08,-0.459
2014-09,-0.455
2014-10,-0.456
2014-11,-0.464
2014-12,-0.468
2015-01,-0.432
2015-02,-0.455
2015-03,-0.458
2015-04,-0.462
2015-05,-0.457
2015-06,-0.46
2015-07,-0.441
2015-08,-0.459
2015-09,-0.467
2015-10,-0.468
2015-11,-0.473
2015-12,
2016-01,-0.469
2016-02,-0.467
2016-03,-0.473
2016-04,-0.459
2016-05,-0.458
2016-06,-0.474
2016-07,-0.46
2016-08,-0.463
2016-09,-0.469
2016-10,-0.47
2016-11,-0.458
2016-12,-0.475
2017-01,-0.472
2017-02,-0.466
2017-03,-0.474
2017-04,-0.386
2017-05,-0.476
2017-06,-0.478
2017-07,-0.478
2017-08,-0.478
2017-09,-0.477
2017-10,-0.48
2017-11,-0.481
2017-12,-0.401
2018-01,-0.492
2018-02,-0.469
2018-03,-0.479
2018-04,-0.478
2018-05,-0.464
2018-06,-0.482
2018-07,-0.474
2018-08,-0.478
2018-09,-0.479
2018-10,-0.461
2018-11,-0.475
2018-12,-0.394
2019-01,-0.472
2019-02,-0.473
2019-03,-0.47
2019-04,-0.419
2019-05,-0.469
2019-06,-0.466
2019-07,-0.463
2019-08,-0.463
2019-09,-0.468
2019-10,-0.468
2019-11,-0.459
2019-12,-0.468
2020-01,-0.464
2020-02,-0.471
2020-03,-0.457
2020-04,-0.459
2020-05,-0.438
2020-06,-0.463
2020-07,
2020-08,-0.438
2020-09,-0.451
2020-10,-0.435
2020-11,-0.463
2020-12,-0.412
2021-01,-0.45
2021-02,-0.468
2021-03,-0.465
2021-04,-0.459
2021-05,-0.424
2021-06,-0.417
2021-07,-0.464
2021-08,-0.463
2021-09,-0.463
2021-10,-0.463
2021-11,-0.451
2021-12,-0.453
2022-01,-0.456
2022-02,-0.459
2022-03,-0.465
2022-04,-0.451
2022-05,-0.421
2022-06,-0.433
2022-07,-0.431
2022-08,-0.44
2022-09,-0.451
2022-10,-0.369
2022-11,-0.423
2022-12,-0.444
2023-01,-0.461
2023-02,-0.466
2023-03,-0.465
2023-04,-0.463
2023-05,-0.461
2023-06,-0.461
2023-07,-0.46
2023-08,-0.469
2023-09,-0.475
2023-10,-0.474
2023-11,-0.467
2023-12,-0.473
2024-01,-0.424
2024-02,-0.465
2024-03,-0.469
2024-04,-0.461
2024-05,-0.461
2024-06,-0.395
2024-07,-0.408
2024-08,-0.456
2024-09,-0.462
2024-10,-0.468
2024-11,-0.468
2024-12,-0.447
