date,MNDWIS2
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,
2015-08,
2015-09,
2015-10,
2015-11,-0.47
2015-12,
2016-01,
2016-02,
2016-03,
2016-04,-0.48
2016-05,-0.484
2016-06,
2016-07,-0.487
2016-08,
2016-09,
2016-10,-0.46
2016-11,
2016-12,
2017-01,-0.474
2017-02,
2017-03,-0.477
2017-04,-0.473
2017-05,-0.481
2017-06,
2017-07,-0.484
2017-08,-0.479
2017-09,-0.475
2017-10,-0.483
2017-11,-0.485
2017-12,-0.475
2018-01,-0.485
2018-02,-0.492
2018-03,-0.493
2018-04,-0.487
2018-05,-0.486
2018-06,-0.488
2018-07,
2018-08,
2018-09,-0.48
2018-10,
2018-11,
2018-12,-0.483
2019-01,-0.484
2019-02,-0.405
2019-03,-0.433
2019-04,-0.488
2019-05,-0.314
2019-06,-0.482
2019-07,-0.396
2019-08,-0.481
2019-09,-0.477
2019-10,-0.481
2019-11,-0.468
2019-12,-0.429
2020-01,-0.453
2020-02,-0.479
2020-03,-0.472
2020-04,-0.421
2020-05,-0.495
2020-06,-0.499
2020-07,-0.522
2020-08,-0.485
2020-09,-0.474
2020-10,-0.384
2020-11,-0.458
2020-12,-0.273
2021-01,-0.472
2021-02,-0.476
2021-03,-0.383
2021-04,-0.465
2021-05,-0.447
2021-06,-0.406
2021-07,-0.49
2021-08,-0.486
2021-09,-0.474
2021-10,-0.476
2021-11,-0.292
2021-12,-0.472
2022-01,-0.427
2022-02,-0.456
2022-03,-0.47
2022-04,-0.447
2022-05,-0.436
2022-06,-0.416
2022-07,-0.409
2022-08,-0.422
2022-09,-0.404
2022-10,-0.386
2022-11,-0.41
2022-12,-0.453
2023-01,-0.471
2023-02,-0.448
2023-03,-0.472
2023-04,-0.37
2023-05,-0.383
2023-06,-0.462
2023-07,-0.448
2023-08,-0.441
2023-09,-0.467
2023-10,-0.469
2023-11,-0.467
2023-12,-0.454
2024-01,-0.473
2024-02,-0.464
2024-03,-0.476
2024-04,-0.42
2024-05,-0.336
2024-06,-0.438
2024-07,-0.456
2024-08,-0.37
2024-09,-0.459
2024-10,-0.462
2024-11,-0.312
2024-12,-0.467
