date,water_Landsat
2004-01,0
2004-02,
2004-03,
2004-04,
2004-05,
2004-06,0.01
2004-07,
2004-08,0.28
2004-09,0.409
2004-10,
2004-11,0.003
2004-12,0.003
2005-01,0.001
2005-02,0.036
2005-03,0
2005-04,0.001
2005-05,0.002
2005-06,0.034
2005-07,0.087
2005-08,0.005
2005-09,0.003
2005-10,0.002
2005-11,0.003
2005-12,
2006-01,0.001
2006-02,0.002
2006-03,0.002
2006-04,0.001
2006-05,0.003
2006-06,0.003
2006-07,0.004
2006-08,
2006-09,0.002
2006-10,0.001
2006-11,0.001
2006-12,0.493
2007-01,0.001
2007-02,0.059
2007-03,0.04
2007-04,0.015
2007-05,
2007-06,0.007
2007-07,0.009
2007-08,0.04
2007-09,0.001
2007-10,0.001
2007-11,
2007-12,
2008-01,
2008-02,0.002
2008-03,0
2008-04,
2008-05,
2008-06,
2008-07,
2008-08,
2008-09,
2008-10,0.002
2008-11,0.012
2008-12,0.972
2009-01,0.001
2009-02,0.643
2009-03,0.001
2009-04,0.001
2009-05,0.106
2009-06,0.004
2009-07,
2009-08,
2009-09,0.065
2009-10,0
2009-11,0.001
2009-12,0
2010-01,0.001
2010-02,0.01
2010-03,0.007
2010-04,0.007
2010-05,
2010-06,
2010-07,
2010-08,0.023
2010-09,1
2010-10,
2010-11,0.007
2010-12,0.271
2011-01,0.005
2011-02,
2011-03,0.057
2011-04,0.014
2011-05,0.005
2011-06,
2011-07,
2011-08,0.002
2011-09,0.001
2011-10,0.001
2011-11,
2011-12,
2012-01,
2012-02,
2012-03,
2012-04,
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,
2012-10,
2012-11,
2012-12,
2013-01,
2013-02,
2013-03,0
2013-04,
2013-05,0.377
2013-06,
2013-07,0
2013-08,0.001
2013-09,0
2013-10,0.005
2013-11,0
2013-12,0.005
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0.02
2014-07,0
2014-08,0.001
2014-09,0.001
2014-10,0
2014-11,0
2014-12,0
2015-01,0.018
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0.001
2015-07,0.005
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,
2016-01,0
2016-02,0
2016-03,0
2016-04,0.008
2016-05,0
2016-06,0
2016-07,0.001
2016-08,0.002
2016-09,0.002
2016-10,0.001
2016-11,0
2016-12,0.001
2017-01,0.001
2017-02,0
2017-03,0
2017-04,0.091
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0.008
2018-01,0
2018-02,0.003
2018-03,0
2018-04,0
2018-05,0.013
2018-06,0
2018-07,0.001
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0.107
2019-01,0
2019-02,0
2019-03,0
2019-04,0.002
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0.001
2020-04,0
2020-05,0.022
2020-06,0
2020-07,0.001
2020-08,0.006
2020-09,0.002
2020-10,0.003
2020-11,0
2020-12,0.002
2021-01,0.031
2021-02,0
2021-03,0
2021-04,0
2021-05,0.003
2021-06,0.189
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0.012
2021-12,0.001
2022-01,0
2022-02,0.001
2022-03,0
2022-04,0.003
2022-05,0.003
2022-06,0.001
2022-07,0.001
2022-08,0.001
2022-09,0.002
2022-10,0.122
2022-11,0.004
2022-12,0.003
2023-01,0.002
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0.001
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0.001
2023-12,0
2024-01,0.001
2024-02,0
2024-03,0
2024-04,0.002
2024-05,0.001
2024-06,0
2024-07,0.053
2024-08,0.001
2024-09,0
2024-10,0
2024-11,0
2024-12,0
