date,LAIMODIS
2004-01,2.057
2004-02,2.028
2004-03,2.008
2004-04,1.932
2004-05,1.414
2004-06,1.477
2004-07,1.481
2004-08,1.972
2004-09,2.178
2004-10,2.114
2004-11,2.018
2004-12,1.97
2005-01,1.964
2005-02,2.038
2005-03,1.908
2005-04,1.798
2005-05,1.314
2005-06,1.3
2005-07,1.638
2005-08,2.254
2005-09,2.618
2005-10,2.119
2005-11,2.019
2005-12,1.996
2006-01,2.005
2006-02,1.952
2006-03,2.104
2006-04,1.884
2006-05,1.436
2006-06,1.43
2006-07,1.441
2006-08,2.057
2006-09,2.207
2006-10,2.053
2006-11,1.936
2006-12,1.971
2007-01,1.882
2007-02,1.947
2007-03,1.824
2007-04,1.603
2007-05,1.335
2007-06,2.108
2007-07,2.428
2007-08,2.215
2007-09,2.095
2007-10,2.021
2007-11,2.009
2007-12,2.003
2008-01,1.99
2008-02,1.971
2008-03,1.946
2008-04,1.761
2008-05,1.311
2008-06,1.391
2008-07,1.787
2008-08,2.053
2008-09,1.927
2008-10,1.996
2008-11,1.898
2008-12,1.97
2009-01,1.983
2009-02,1.881
2009-03,1.887
2009-04,1.671
2009-05,1.358
2009-06,1.433
2009-07,1.408
2009-08,1.525
2009-09,1.861
2009-10,1.89
2009-11,1.862
2009-12,1.818
2010-01,1.933
2010-02,2.015
2010-03,2.472
2010-04,2.274
2010-05,2.05
2010-06,2.364
2010-07,2.297
2010-08,2.405
2010-09,2.724
2010-10,2.255
2010-11,2.803
2010-12,2.603
2011-01,2.766
2011-02,4.004
2011-03,4.036
2011-04,3.915
2011-05,3.105
2011-06,3.067
2011-07,2.409
2011-08,2.318
2011-09,2.499
2011-10,2.241
2011-11,2.369
2011-12,2.226
2012-01,2.189
2012-02,2.251
2012-03,3.053
2012-04,3.563
2012-05,2.953
2012-06,2.784
2012-07,2.507
2012-08,2.48
2012-09,2.69
2012-10,2.473
2012-11,2.169
2012-12,2.091
2013-01,2.053
2013-02,2.086
2013-03,2.113
2013-04,2.074
2013-05,1.522
2013-06,1.863
2013-07,2.251
2013-08,2.095
2013-09,2.176
2013-10,2.077
2013-11,2.019
2013-12,1.997
2014-01,1.991
2014-02,2.013
2014-03,2.001
2014-04,1.946
2014-05,2.217
2014-06,2.867
2014-07,2.43
2014-08,2.236
2014-09,2.668
2014-10,2.248
2014-11,2.093
2014-12,2.066
2015-01,1.922
2015-02,2.46
2015-03,2.156
2015-04,2.244
2015-05,1.9
2015-06,2.235
2015-07,2.402
2015-08,2.416
2015-09,2.5
2015-10,2.177
2015-11,2.083
2015-12,2.014
2016-01,2.216
2016-02,2.12
2016-03,2.053
2016-04,2.093
2016-05,2.007
2016-06,2.875
2016-07,3.533
2016-08,3.8
2016-09,3.949
2016-10,3.441
2016-11,2.519
2016-12,2.518
2017-01,2.636
2017-02,2.426
2017-03,2.271
2017-04,2.145
2017-05,2.405
2017-06,2.312
2017-07,1.973
2017-08,2.106
2017-09,2.145
2017-10,2.125
2017-11,2.023
2017-12,2.074
2018-01,1.983
2018-02,2.059
2018-03,2.026
2018-04,2.011
2018-05,1.496
2018-06,1.397
2018-07,1.359
2018-08,1.708
2018-09,2.024
2018-10,2.073
2018-11,1.891
2018-12,2.099
2019-01,1.949
2019-02,2.008
2019-03,1.839
2019-04,1.896
2019-05,1.283
2019-06,1.198
2019-07,1.292
2019-08,1.54
2019-09,1.909
2019-10,1.987
2019-11,1.966
2019-12,1.914
2020-01,1.937
2020-02,1.971
2020-03,1.938
2020-04,2.456
2020-05,2.528
2020-06,2.558
2020-07,2.346
2020-08,2.443
2020-09,2.603
2020-10,3.017
2020-11,2.303
2020-12,2.091
2021-01,2.168
2021-02,2.159
2021-03,2.177
2021-04,2.208
2021-05,1.643
2021-06,1.722
2021-07,1.544
2021-08,1.709
2021-09,2.011
2021-10,2.07
2021-11,2.02
2021-12,2.026
2022-01,1.779
2022-02,2.194
2022-03,2.028
2022-04,1.585
2022-05,2.38
2022-06,4.306
2022-07,4.313
2022-08,4.051
2022-09,3.286
2022-10,2.926
2022-11,3.1
2022-12,2.62
2023-01,2.387
2023-02,2.257
2023-03,2.163
2023-04,2.017
2023-05,1.851
2023-06,1.74
2023-07,2.631
2023-08,2.569
2023-09,2.225
2023-10,2.018
2023-11,2.053
2023-12,1.96
2024-01,1.937
2024-02,2.133
2024-03,1.962
2024-04,1.845
2024-05,1.893
2024-06,2.291
2024-07,2.529
2024-08,2.776
2024-09,2.252
2024-10,2.035
2024-11,2.041
2024-12,2.045
