date,ERA5_volumetric_soil_water_layer_1
2004-01,0.046
2004-02,0.051
2004-03,0.048
2004-04,0.043
2004-05,0.07
2004-06,0.11
2004-07,0.067
2004-08,0.077
2004-09,0.079
2004-10,0.077
2004-11,0.074
2004-12,0.057
2005-01,0.05
2005-02,0.049
2005-03,0.05
2005-04,0.048
2005-05,0.05
2005-06,0.16
2005-07,0.196
2005-08,0.076
2005-09,0.103
2005-10,0.066
2005-11,0.072
2005-12,0.05
2006-01,0.061
2006-02,0.047
2006-03,0.058
2006-04,0.06
2006-05,0.054
2006-06,0.07
2006-07,0.138
2006-08,0.06
2006-09,0.051
2006-10,0.052
2006-11,0.05
2006-12,0.065
2007-01,0.086
2007-02,0.052
2007-03,0.061
2007-04,0.06
2007-05,0.157
2007-06,0.147
2007-07,0.065
2007-08,0.06
2007-09,0.051
2007-10,0.073
2007-11,0.072
2007-12,0.072
2008-01,0.054
2008-02,0.051
2008-03,0.044
2008-04,0.047
2008-05,0.053
2008-06,0.136
2008-07,0.075
2008-08,0.071
2008-09,0.087
2008-10,0.051
2008-11,0.089
2008-12,0.078
2009-01,0.048
2009-02,0.049
2009-03,0.051
2009-04,0.055
2009-05,0.055
2009-06,0.104
2009-07,0.071
2009-08,0.063
2009-09,0.055
2009-10,0.052
2009-11,0.067
2009-12,0.071
2010-01,0.05
2010-02,0.136
2010-03,0.104
2010-04,0.059
2010-05,0.082
2010-06,0.084
2010-07,0.128
2010-08,0.132
2010-09,0.145
2010-10,0.114
2010-11,0.152
2010-12,0.115
2011-01,0.111
2011-02,0.148
2011-03,0.155
2011-04,0.065
2011-05,0.072
2011-06,0.058
2011-07,0.085
2011-08,0.058
2011-09,0.056
2011-10,0.068
2011-11,0.092
2011-12,0.074
2012-01,0.075
2012-02,0.078
2012-03,0.155
2012-04,0.054
2012-05,0.055
2012-06,0.085
2012-07,0.127
2012-08,0.062
2012-09,0.053
2012-10,0.053
2012-11,0.069
2012-12,0.051
2013-01,0.043
2013-02,0.063
2013-03,0.091
2013-04,0.054
2013-05,0.085
2013-06,0.175
2013-07,0.093
2013-08,0.055
2013-09,0.054
2013-10,0.051
2013-11,0.046
2013-12,0.052
2014-01,0.052
2014-02,0.069
2014-03,0.075
2014-04,0.123
2014-05,0.101
2014-06,0.116
2014-07,0.06
2014-08,0.114
2014-09,0.075
2014-10,0.051
2014-11,0.059
2014-12,0.049
2015-01,0.11
2015-02,0.052
2015-03,0.047
2015-04,0.072
2015-05,0.081
2015-06,0.161
2015-07,0.085
2015-08,0.078
2015-09,0.058
2015-10,0.05
2015-11,0.084
2015-12,0.068
2016-01,0.053
2016-02,0.048
2016-03,0.07
2016-04,0.052
2016-05,0.149
2016-06,0.183
2016-07,0.125
2016-08,0.096
2016-09,0.229
2016-10,0.078
2016-11,0.051
2016-12,0.106
2017-01,0.071
2017-02,0.047
2017-03,0.045
2017-04,0.112
2017-05,0.08
2017-06,0.062
2017-07,0.07
2017-08,0.094
2017-09,0.052
2017-10,0.055
2017-11,0.054
2017-12,0.052
2018-01,0.049
2018-02,0.048
2018-03,0.049
2018-04,0.047
2018-05,0.052
2018-06,0.054
2018-07,0.052
2018-08,0.055
2018-09,0.055
2018-10,0.056
2018-11,0.073
2018-12,0.055
2019-01,0.048
2019-02,0.049
2019-03,0.044
2019-04,0.05
2019-05,0.072
2019-06,0.062
2019-07,0.054
2019-08,0.051
2019-09,0.05
2019-10,0.046
2019-11,0.048
2019-12,0.039
2020-01,0.031
2020-02,0.049
2020-03,0.071
2020-04,0.069
2020-05,0.063
2020-06,0.054
2020-07,0.06
2020-08,0.108
2020-09,0.083
2020-10,0.099
2020-11,0.052
2020-12,0.058
2021-01,0.068
2021-02,0.057
2021-03,0.082
2021-04,0.052
2021-05,0.057
2021-06,0.115
2021-07,0.084
2021-08,0.058
2021-09,0.065
2021-10,0.068
2021-11,0.111
2021-12,0.052
2022-01,0.101
2022-02,0.081
2022-03,0.082
2022-04,0.091
2022-05,0.176
2022-06,0.121
2022-07,0.059
2022-08,0.067
2022-09,0.099
2022-10,0.169
2022-11,0.117
2022-12,0.068
2023-01,0.057
2023-02,0.048
2023-03,0.042
2023-04,0.063
2023-05,0.052
2023-06,0.15
2023-07,0.122
2023-08,0.063
2023-09,0.05
2023-10,0.072
2023-11,0.061
2023-12,0.052
2024-01,0.079
2024-02,0.066
2024-03,0.053
2024-04,0.055
2024-05,0.104
2024-06,0.114
2024-07,0.147
2024-08,0.06
2024-09,0.06
2024-10,0.053
2024-11,0.06
2024-12,0.057
